Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Septiembre,149,Canadá,73,Tolima,0803902000 - Los demás bananos secos,546.86,5.96,18393.2
2018,Septiembre,249,Estados Unidos,11,Bogotá,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",14236.35,27.91,84265.06
2018,Septiembre,275,Francia,73,Tolima,0803902000 - Los demás bananos secos,949.6,9.88,29696.26
2018,Septiembre,573,Países Bajos,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,216,0.5,1515.54
2018,Septiembre,27,Aruba,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,60,0.07,216.5
2018,Septiembre,245,España,70,Sucre,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",19440,10.21,30903.48
2018,Septiembre,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,170720,138.06,426554.15
2018,Septiembre,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,241.2,0.56,1707.77
2018,Agosto,23,Alemania,11,Bogotá,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",70,1.73,5188.26
2018,Agosto,23,Alemania,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,7738.8,40.34,119735.61
2018,Agosto,87,Bélgica,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,70.4,0.19,569.62
2018,Agosto,149,Canadá,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,124,0.32,962.02
2018,Agosto,245,España,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1130,3.45,10195.65
